userID,firstName,lastName,email,phoneNumber,locationId,skillIds,desiredSalaryMin,desiredSalaryMax
1,Will,Williamson,will1@gmail.com,61435678987,1,"1, 3",50000,80000
2,Nick ,Nicholson,nick1@gmail.com,61435678987,2,"1, 2",80000,100000
3,Connor,connors,ccon@gmail.com,61435678987,1,1,80000,120000
4,Cam ,Cameron,Cam@gmail.com,61435678987,1,1,90000,105000
5,Joe,Johnson,joe@gmail.com,61435678987,4,"3,4,5",60000,90000
6,Sam,Sammuel,sam@gmail.com,61435678987,5,"3,4,5",70000,80000
7,Callum,Callumson,cal@gmail.com,61435678987,1,3,40000,50000
8,Mia,Mabel,mia@gmail.com ,61435678987,2,,30000,60000
9,Sofie,Peterson,sofie@gmail.com,61435678987,7,,60000,75000
10,Ange ,Andrews,ange@gmail.com,61435678987,8,,55000,75000
