userID,firstName,lastName,email,phoneNumber,password ,userType,dateCreated ,location,loginStatus,skills,desiredSalaryMin,desiredSalaryMax,resumeId
1,Will,Williamson,will1@gmail.com,61435678987,1234,JobSeeker,03/09/2022,Adelaide,TRUE,,50000,80000,1
2,Nick ,Nicholson,nick1@gmail.com,61435678987,1234,JobSeeker,04/09/2022,Bendigo,TRUE,,80000,100000,2
3,Connor,connors,ccon@gmail.com,61435678987,1234,JobSeeker,05/09/2022,Sydney,TRUE,,80000,120000,3
4,Cam ,Cameron,Cam@gmail.com,61435678987,1234,JobSeeker,06/09/2022,Sydney,FALSE,,90000,105000,4
5,Joe,Johnson,joe@gmail.com,61435678987,1234,JobSeeker,07/09/2022,Blue Mountains ,FALSE,,60000,90000,5
6,Sam,Sammuel,sam@gmail.com,61435678987,1234,JobSeeker,08/09/2022,Sydney,TRUE,,70000,80000,6
7,Callum,Callumson,cal@gmail.com,61435678987,1234,JobSeeker,09/09/2022,Perth,FALSE,,40000,50000,7
8,Mia,Mabel,mia@gmail.com ,61435678987,1234,JobSeeker,10/09/2022,Brisbane,TRUE,,30000,60000,8
9,Sofie,Peterson,sofie@gmail.com,61435678987,1234,JobSeeker,11/09/2022,Canberra,TRUE,,60000,75000,9
10,Ange ,Andrews,ange@gmail.com,61435678987,1234,JobSeeker,12/09/2022,Adelaide,FALSE,,55000,75000,10
